GEOID,NAME,variable,estimate,moe,Hispanic_or_Latino,Two_or_more,Including_other_race,zip_pop,prop_His_Lat,prop_Two_more,prop_incl_other,prop_His_Lat_Two_more,prop_His_Lat_incl_other,prop_Two_more_incl_other,prop_His_Lat_Two_more_incl_other
60625,ZCTA5 60625,B03002_011,2755,608,No,Two or more races,Excluding,4262,0.6940403566400751,1,0.7806194274988268,0.6940403566400751,0.6464101360863445,0.7806194274988268,0.6464101360863445
60625,ZCTA5 60625,B03002_020,732,269,Yes,Two or more races,Including,4262,0.3059596433599249,1,0.21938057250117315,0.3059596433599249,0.1717503519474425,0.21938057250117315,0.1717503519474425
60625,ZCTA5 60625,B03002_021,572,259,Yes,Two or more races,Excluding,4262,0.3059596433599249,1,0.7806194274988268,0.3059596433599249,0.1342092914124824,0.7806194274988268,0.1342092914124824
60626,ZCTA5 60626,B03002_010,106,115,No,Two or more races,Including,1716,0.8135198135198135,1,0.12703962703962704,0.8135198135198135,0.06177156177156177,0.12703962703962704,0.06177156177156177
60626,ZCTA5 60626,B03002_011,1290,266,No,Two or more races,Excluding,1716,0.8135198135198135,1,0.872960372960373,0.8135198135198135,0.7517482517482518,0.872960372960373,0.7517482517482518
60626,ZCTA5 60626,B03002_020,112,72,Yes,Two or more races,Including,1716,0.1864801864801865,1,0.12703962703962704,0.1864801864801865,0.06526806526806526,0.12703962703962704,0.06526806526806526
60626,ZCTA5 60626,B03002_021,208,137,Yes,Two or more races,Excluding,1716,0.1864801864801865,1,0.872960372960373,0.1864801864801865,0.12121212121212122,0.872960372960373,0.12121212121212122
60628,ZCTA5 60628,B03002_010,31,25,No,Two or more races,Including,606,0.9026402640264026,1,0.10561056105610561,0.9026402640264026,0.05115511551155116,0.10561056105610561,0.05115511551155116
60628,ZCTA5 60628,B03002_011,516,200,No,Two or more races,Excluding,606,0.9026402640264026,1,0.8943894389438944,0.9026402640264026,0.8514851485148515,0.8943894389438944,0.8514851485148515
60628,ZCTA5 60628,B03002_020,33,49,Yes,Two or more races,Including,606,0.09735973597359736,1,0.10561056105610561,0.09735973597359736,0.054455445544554455,0.10561056105610561,0.054455445544554455
60628,ZCTA5 60628,B03002_021,26,31,Yes,Two or more races,Excluding,606,0.09735973597359736,1,0.8943894389438944,0.09735973597359736,0.0429042904290429,0.8943894389438944,0.0429042904290429
60629,ZCTA5 60629,B03002_010,88,88,No,Two or more races,Including,2196,0.3674863387978142,1,0.47996357012750457,0.3674863387978142,0.04007285974499089,0.47996357012750457,0.04007285974499089
60629,ZCTA5 60629,B03002_011,719,305,No,Two or more races,Excluding,2196,0.3674863387978142,1,0.5200364298724954,0.3674863387978142,0.3274134790528233,0.5200364298724954,0.3274134790528233
60629,ZCTA5 60629,B03002_020,966,408,Yes,Two or more races,Including,2196,0.6325136612021858,1,0.47996357012750457,0.6325136612021858,0.43989071038251365,0.47996357012750457,0.43989071038251365
60629,ZCTA5 60629,B03002_021,423,203,Yes,Two or more races,Excluding,2196,0.6325136612021858,1,0.5200364298724954,0.6325136612021858,0.19262295081967212,0.5200364298724954,0.19262295081967212
60630,ZCTA5 60630,B03002_010,89,103,No,Two or more races,Including,2968,0.5842318059299192,1,0.28706199460916443,0.5842318059299192,0.029986522911051212,0.28706199460916443,0.029986522911051212
60630,ZCTA5 60630,B03002_011,1645,451,No,Two or more races,Excluding,2968,0.5842318059299192,1,0.7129380053908356,0.5842318059299192,0.5542452830188679,0.7129380053908356,0.5542452830188679
