County,State,variable,estimate,label
Decatur, Indiana,B19101_011,842,"$50,000 to $59,999"
Decatur, Indiana,B19101_012,736,"$60,000 to $74,999"
Decatur, Indiana,B19101_013,1184,"$75,000 to $99,999"
Decatur, Indiana,B19101_014,788,"$100,000 to $124,999"
Decatur, Indiana,B19101_015,367,"$125,000 to $149,999"
Decatur, Indiana,B19101_016,366,"$150,000 to $199,999"
Decatur, Indiana,B19101_017,218,"$200,000 or more"
DeKalb, Indiana,B19101_002,455,"Less than $10,000"
DeKalb, Indiana,B19101_003,147,"$10,000 to $14,999"
DeKalb, Indiana,B19101_004,202,"$15,000 to $19,999"
DeKalb, Indiana,B19101_005,336,"$20,000 to $24,999"
DeKalb, Indiana,B19101_006,544,"$25,000 to $29,999"
DeKalb, Indiana,B19101_007,630,"$30,000 to $34,999"
DeKalb, Indiana,B19101_008,619,"$35,000 to $39,999"
DeKalb, Indiana,B19101_009,484,"$40,000 to $44,999"
DeKalb, Indiana,B19101_010,554,"$45,000 to $49,999"
DeKalb, Indiana,B19101_011,1223,"$50,000 to $59,999"
DeKalb, Indiana,B19101_012,1636,"$60,000 to $74,999"
DeKalb, Indiana,B19101_013,2012,"$75,000 to $99,999"
DeKalb, Indiana,B19101_014,1243,"$100,000 to $124,999"
DeKalb, Indiana,B19101_015,444,"$125,000 to $149,999"
DeKalb, Indiana,B19101_016,488,"$150,000 to $199,999"
DeKalb, Indiana,B19101_017,414,"$200,000 or more"
Delaware, Indiana,B19101_002,1677,"Less than $10,000"
Delaware, Indiana,B19101_003,999,"$10,000 to $14,999"
Delaware, Indiana,B19101_004,978,"$15,000 to $19,999"
Delaware, Indiana,B19101_005,1394,"$20,000 to $24,999"
Delaware, Indiana,B19101_006,1194,"$25,000 to $29,999"
Delaware, Indiana,B19101_007,1372,"$30,000 to $34,999"
Delaware, Indiana,B19101_008,1232,"$35,000 to $39,999"
Delaware, Indiana,B19101_009,1392,"$40,000 to $44,999"
Delaware, Indiana,B19101_010,1061,"$45,000 to $49,999"
Delaware, Indiana,B19101_011,2951,"$50,000 to $59,999"
Delaware, Indiana,B19101_012,3259,"$60,000 to $74,999"
Delaware, Indiana,B19101_013,4031,"$75,000 to $99,999"
Delaware, Indiana,B19101_014,2479,"$100,000 to $124,999"
Delaware, Indiana,B19101_015,1384,"$125,000 to $149,999"
Delaware, Indiana,B19101_016,834,"$150,000 to $199,999"
Delaware, Indiana,B19101_017,1125,"$200,000 or more"
Dubois, Indiana,B19101_002,427,"Less than $10,000"
Dubois, Indiana,B19101_003,201,"$10,000 to $14,999"
Dubois, Indiana,B19101_004,351,"$15,000 to $19,999"
Dubois, Indiana,B19101_005,149,"$20,000 to $24,999"
Dubois, Indiana,B19101_006,354,"$25,000 to $29,999"
Dubois, Indiana,B19101_007,391,"$30,000 to $34,999"
