date,zipcode,confirmed_cases,confirmed_cases_change,confirmed_cases_change_pct,total_tested,total_tested_change,total_tested_change_pct,pct_population_moe,below_moe_threshold,cases_per_capita,cases_per_1000,confirmed_cases_unknown,confirmed_cases_less_than_20,confirmed_cases_20_to_29,confirmed_cases_30_to_39,confirmed_cases_40_to_49,confirmed_cases_50_to_59,confirmed_cases_60_to_69,confirmed_cases_70_to_79,confirmed_cases_80_or_more,total_tested_unknown,total_tested_less_than_20,total_tested_20_to_29,total_tested_30_to_39,total_tested_40_to_49,total_tested_50_to_59,total_tested_60_to_69,total_tested_70_to_79,total_tested_80_or_more,confirmed_cases_female,confirmed_cases_male,confirmed_cases_unknownleftblank,total_tested_female,total_tested_male,total_tested_unknownleftblank,confirmed_cases_aian,confirmed_cases_asian,confirmed_cases_black,confirmed_cases_hispanic,confirmed_cases_leftblank,confirmed_cases_nhpi,confirmed_cases_other,confirmed_cases_white,total_tested_aian,total_tested_asian,total_tested_black,total_tested_hispanic,total_tested_leftblank,total_tested_nhpi,total_tested_other,total_tested_white
9/30/2020,62838,40,0,0,352,3,0.86,0.16,FALSE,,,0,9,0,0,0,6,6,0,0,0,73,34,41,33,57,51,42,21,26,14,0,229,121,0,0,0,0,0,13,0,6,21,0,0,0,0,130,0,58,164
9/30/2020,62837,183,4,2.23,2571,38,1.5,0.03,TRUE,0.02,20.42,0,49,21,18,17,19,26,25,8,0,454,399,342,288,326,327,226,209,84,97,0,1601,887,83,0,0,0,12,16,0,0,154,0,0,6,34,291,0,15,2223
9/30/2020,62836,11,0,0,191,0,0,0.15,FALSE,,,0,0,0,0,0,0,0,0,0,0,37,31,16,25,35,20,14,12,8,0,0,106,66,19,0,0,0,0,0,0,0,7,0,0,0,0,63,0,0,127
9/30/2020,62835,15,1,7.14,160,3,1.91,0.19,FALSE,,,0,0,0,0,0,6,0,0,0,0,34,15,29,7,29,18,15,13,9,0,0,78,79,0,0,0,0,0,0,0,0,14,0,0,0,0,25,0,0,133
9/30/2020,62832,110,2,1.85,3190,11,0.35,0.03,TRUE,0.01,12.43,0,22,19,23,15,9,10,6,6,0,371,435,349,375,465,386,357,452,53,41,16,1874,918,398,0,0,0,0,25,0,0,76,0,6,74,17,1272,0,13,1807
9/30/2020,62830,15,1,7.14,297,3,1.02,0.13,FALSE,,,0,0,0,0,0,0,0,0,0,0,33,29,34,53,48,39,40,21,0,12,0,157,122,18,0,0,0,0,0,0,0,8,0,0,0,11,59,0,6,217
9/30/2020,62828,19,0,0,223,0,0,0.19,FALSE,,,0,0,0,0,0,0,0,0,0,0,27,21,23,31,28,47,37,9,11,7,0,124,96,0,0,0,0,0,0,0,0,13,0,0,0,0,51,0,0,166
9/30/2020,62827,16,1,6.67,172,0,0,0.15,FALSE,,,0,0,0,0,0,0,0,0,0,0,38,29,24,26,19,17,17,0,8,7,0,115,50,7,0,0,0,0,0,0,0,15,0,0,0,0,47,0,0,121
9/30/2020,62824,12,0,0,310,11,3.68,0.12,FALSE,,,0,0,0,0,0,0,0,0,0,0,46,33,40,35,42,53,36,25,6,6,0,166,141,0,0,0,0,0,0,0,0,12,0,0,0,0,64,0,12,230
9/30/2020,62823,18,1,5.88,440,1,0.23,0.15,FALSE,,,0,0,0,0,0,0,0,0,0,0,58,70,53,54,62,42,40,61,10,8,0,297,132,11,0,0,0,0,0,0,0,18,0,0,0,0,42,0,0,391
9/30/2020,62822,23,0,0,794,10,1.28,0.09,TRUE,0.01,7.44,0,9,0,0,0,0,0,0,0,0,107,109,97,132,132,109,78,29,15,7,0,405,280,109,0,0,0,0,0,0,0,20,0,0,0,0,299,0,12,477
9/30/2020,62821,87,3,3.57,3655,7,0.19,0.02,TRUE,0.01,12.13,0,17,12,9,11,14,13,0,6,0,328,536,452,467,393,431,348,699,49,34,0,2734,864,57,0,0,0,0,18,0,0,67,0,12,0,8,2776,0,11,845
9/30/2020,62817,6,0,0,100,1,1.01,0.33,FALSE,,,0,0,0,0,0,0,0,0,0,0,16,0,16,17,16,15,8,6,0,0,0,55,32,13,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,67
9/30/2020,62816,8,0,0,248,2,0.81,0.16,FALSE,,,0,0,0,0,0,0,0,0,0,0,28,21,38,36,26,56,33,10,0,0,0,161,82,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,184
9/30/2020,62814,20,0,0,449,0,0,0.11,FALSE,,,0,0,0,0,0,0,0,0,0,0,80,66,31,73,75,58,48,18,13,6,0,277,162,10,0,0,0,0,0,0,0,16,0,0,0,0,189,0,0,251
9/30/2020,62812,128,3,2.4,3728,17,0.46,0.03,TRUE,0.01,11.74,0,30,21,24,17,11,12,10,0,6,443,449,470,459,538,539,405,419,59,53,16,2097,1179,452,0,0,0,0,50,0,0,74,0,0,8,28,1670,0,37,1982
9/30/2020,62810,22,1,4.76,218,3,1.4,0.16,FALSE,,,0,0,0,0,0,0,0,0,0,0,36,45,25,25,31,29,19,7,11,11,0,143,69,6,0,0,0,0,6,0,0,15,0,0,0,0,68,0,6,140
9/30/2020,62808,18,0,0,302,1,0.33,0.12,FALSE,,,0,0,0,0,0,0,0,0,0,0,38,35,55,53,41,37,29,14,13,0,0,177,114,11,0,0,0,0,0,0,0,13,0,0,0,0,74,0,9,214
9/30/2020,62807,13,0,0,216,0,0,0.21,FALSE,,,0,0,0,0,0,0,0,0,0,0,39,12,42,32,36,35,18,0,0,8,0,139,71,6,0,0,0,0,0,0,0,11,0,0,0,0,100,0,0,114
9/30/2020,62806,37,0,0,472,1,0.21,0.05,TRUE,0.01,11.04,0,9,8,7,0,0,0,0,0,0,93,84,66,68,68,50,32,11,16,20,0,288,164,20,0,0,0,0,0,0,0,33,0,0,0,0,134,0,0,333
9/30/2020,62803,7,0,0,186,1,0.54,0.13,FALSE,,,0,0,0,0,0,0,0,0,0,0,56,23,24,22,20,21,16,0,6,0,0,105,72,9,0,0,0,0,0,0,0,6,0,0,6,0,42,0,6,130
9/30/2020,62801,346,2,0.58,8452,96,1.15,0.01,TRUE,0.02,16.14,0,44,60,60,43,61,39,25,14,0,740,1334,1194,1043,1247,1160,702,1027,199,129,18,4320,2923,1209,0,0,28,7,38,0,8,265,0,18,467,76,2732,0,198,4954
9/30/2020,62712,164,0,0,4797,27,0.57,0.06,TRUE,0.02,16.01,0,39,37,9,21,34,16,6,0,0,641,788,564,681,833,751,419,119,86,76,0,2606,2144,47,0,0,6,0,36,0,0,118,0,43,119,50,2195,12,90,2286
9/30/2020,62711,249,0,0,8996,67,0.75,0.04,TRUE,0.01,14.86,0,32,57,12,23,51,35,19,20,0,973,1206,895,969,1357,1329,1101,1164,132,115,0,5248,3636,112,0,8,8,6,39,0,0,185,8,107,138,69,4589,14,189,3882
9/30/2020,62707,130,2,1.56,4689,31,0.67,0.07,TRUE,0.02,18.78,0,10,24,15,18,20,22,16,0,0,311,731,604,460,873,980,589,140,44,66,20,1933,2197,559,0,0,10,0,56,0,0,63,0,6,139,36,2196,0,38,2273
9/30/2020,62704,487,1,0.21,18697,166,0.9,0.02,TRUE,0.01,11.93,0,51,131,88,71,63,46,23,14,0,1829,3571,3117,2474,2630,2544,1744,788,270,214,0,11092,7217,388,0,9,102,12,58,0,0,304,6,138,1361,192,8884,72,385,7659
9/30/2020,62703,318,8,2.58,14466,151,1.05,0.04,TRUE,0.01,10.29,0,36,83,49,44,41,38,22,0,0,1595,3328,2046,1914,2135,1890,1084,472,200,115,0,8671,5384,411,0,0,142,0,57,7,0,106,12,144,2473,124,5603,400,454,5256
