NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Grant County, Wisconsin",Grant County,Wisconsin,WI,256,14,51439,5.469,27.217,497.677
"Green County, Wisconsin",Green County,Wisconsin,WI,118,1,36960,0.847,2.706,319.264
"Green Lake County, Wisconsin",Green Lake County,Wisconsin,WI,49,0,18913,0,0,259.081
"Iowa County, Wisconsin",Iowa County,Wisconsin,WI,54,0,23678,0,0,228.06
"Iron County, Wisconsin",Iron County,Wisconsin,WI,37,1,5687,2.703,17.584,650.607
"Jackson County, Wisconsin",Jackson County,Wisconsin,WI,37,1,20643,2.703,4.844,179.238
"Jefferson County, Wisconsin",Jefferson County,Wisconsin,WI,449,4,84769,0.891,4.719,529.675
"Juneau County, Wisconsin",Juneau County,Wisconsin,WI,80,1,26687,1.25,3.747,299.771
"Kenosha County, Wisconsin",Kenosha County,Wisconsin,WI,2102,47,169561,2.236,27.719,1239.672
"Kewaunee County, Wisconsin",Kewaunee County,Wisconsin,WI,93,1,20434,1.075,4.894,455.124
"La Crosse County, Wisconsin",La Crosse County,Wisconsin,WI,685,1,118016,0.146,0.847,580.43
"Lafayette County, Wisconsin",Lafayette County,Wisconsin,WI,87,0,16665,0,0,522.052
"Langlade County, Wisconsin",Langlade County,Wisconsin,WI,13,1,19189,7.692,5.211,67.747
"Lincoln County, Wisconsin",Lincoln County,Wisconsin,WI,46,0,27593,0,0,166.709
"Manitowoc County, Wisconsin",Manitowoc County,Wisconsin,WI,212,1,78981,0.472,1.266,268.419
"Marathon County, Wisconsin",Marathon County,Wisconsin,WI,410,3,135692,0.732,2.211,302.155
"Marinette County, Wisconsin",Marinette County,Wisconsin,WI,196,3,40350,1.531,7.435,485.75
"Marquette County, Wisconsin",Marquette County,Wisconsin,WI,60,1,15574,1.667,6.421,385.257
"Menominee County, Wisconsin",Menominee County,Wisconsin,WI,10,0,4556,0,0,219.491
"Milwaukee County, Wisconsin",Milwaukee County,Wisconsin,WI,16777,417,945726,2.486,44.093,1773.981
"Monroe County, Wisconsin",Monroe County,Wisconsin,WI,163,1,46253,0.613,2.162,352.41
