GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60636,ZCTA5 60636,B27001_011,498,162,Male,19 to 25 years,No,32185,0.47248718347056085,0.08771166692558645,0.10579462482522914,0.047661954326549634,0.06751592356687898,0.02205996582258816,0.015473046450209724
60636,ZCTA5 60636,B27001_013,1188,221,Male,26 to 34 years,Yes,32185,0.47248718347056085,0.11110765884728911,0.8942053751747708,0.05549168867484853,0.4049712599036818,0.08413857386981513,0.036911604784837654
60636,ZCTA5 60636,B27001_014,598,174,Male,26 to 34 years,No,32185,0.47248718347056085,0.11110765884728911,0.10579462482522914,0.05549168867484853,0.06751592356687898,0.026969084977473978,0.018580083890010875
60636,ZCTA5 60636,B27001_016,1301,227,Male,35 to 44 years,Yes,32185,0.47248718347056085,0.11660711511573714,0.8942053751747708,0.05067578064315675,0.4049712599036818,0.0997359018176169,0.04042255709181296
60636,ZCTA5 60636,B27001_017,330,102,Male,35 to 44 years,No,32185,0.47248718347056085,0.11660711511573714,0.10579462482522914,0.05067578064315675,0.06751592356687898,0.016871213298120243,0.010253223551343794
60636,ZCTA5 60636,B27001_019,1503,205,Male,45 to 54 years,Yes,32185,0.47248718347056085,0.12773030915022526,0.8942053751747708,0.058691937237843717,0.4049712599036818,0.10737921391952773,0.04669877272021128
60636,ZCTA5 60636,B27001_020,386,136,Male,45 to 54 years,No,32185,0.47248718347056085,0.12773030915022526,0.10579462482522914,0.058691937237843717,0.06751592356687898,0.02035109523069753,0.011993164517632438
60636,ZCTA5 60636,B27001_022,1665,258,Male,55 to 64 years,Yes,32185,0.47248718347056085,0.11747708559888147,0.8942053751747708,0.06052508932732639,0.4049712599036818,0.10445859872611465,0.05173217337268914
60636,ZCTA5 60636,B27001_023,283,84,Male,55 to 64 years,No,32185,0.47248718347056085,0.11747708559888147,0.10579462482522914,0.06052508932732639,0.06751592356687898,0.013018486872766816,0.008792915954637253
60636,ZCTA5 60636,B27001_025,1511,202,Male,65 to 74 years,Yes,32185,0.47248718347056085,0.10821811402827404,0.8942053751747708,0.048003728444927764,0.4049712599036818,0.10654031381078143,0.04694733571539537
60636,ZCTA5 60636,B27001_026,34,33,Male,65 to 74 years,No,32185,0.47248718347056085,0.10821811402827404,0.10579462482522914,0.048003728444927764,0.06751592356687898,0.0016778002174926208,0.0010563927295323908
60636,ZCTA5 60636,B27001_028,1000,194,Male,75 years and over,Yes,32185,0.47248718347056085,0.084231784993009165,0.8942053751747708,0.031070374398011497,0.4049712599036818,0.084231784993009165,0.031070374398011497
