NAME,County,State,variable,estimate,label
"Cook County, Illinois",Cook, Illinois,B19101_012,109741,"$60,000 to $74,999"
"Cook County, Illinois",Cook, Illinois,B19101_013,151271,"$75,000 to $99,999"
"Cook County, Illinois",Cook, Illinois,B19101_014,119167,"$100,000 to $124,999"
"Cook County, Illinois",Cook, Illinois,B19101_015,86671,"$125,000 to $149,999"
"Cook County, Illinois",Cook, Illinois,B19101_016,107166,"$150,000 to $199,999"
"Cook County, Illinois",Cook, Illinois,B19101_017,136236,"$200,000 or more"
"Crawford County, Illinois",Crawford, Illinois,B19101_002,142,"Less than $10,000"
"Crawford County, Illinois",Crawford, Illinois,B19101_003,156,"$10,000 to $14,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_004,192,"$15,000 to $19,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_005,247,"$20,000 to $24,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_006,242,"$25,000 to $29,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_007,316,"$30,000 to $34,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_008,205,"$35,000 to $39,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_009,231,"$40,000 to $44,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_010,315,"$45,000 to $49,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_011,398,"$50,000 to $59,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_012,444,"$60,000 to $74,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_013,772,"$75,000 to $99,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_014,542,"$100,000 to $124,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_015,335,"$125,000 to $149,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_016,308,"$150,000 to $199,999"
"Crawford County, Illinois",Crawford, Illinois,B19101_017,241,"$200,000 or more"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_002,132,"Less than $10,000"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_003,55,"$10,000 to $14,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_004,106,"$15,000 to $19,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_005,101,"$20,000 to $24,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_006,143,"$25,000 to $29,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_007,93,"$30,000 to $34,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_008,99,"$35,000 to $39,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_009,152,"$40,000 to $44,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_010,126,"$45,000 to $49,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_011,240,"$50,000 to $59,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_012,534,"$60,000 to $74,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_013,414,"$75,000 to $99,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_014,435,"$100,000 to $124,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_015,138,"$125,000 to $149,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_016,68,"$150,000 to $199,999"
"Cumberland County, Illinois",Cumberland, Illinois,B19101_017,98,"$200,000 or more"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_002,1144,"Less than $10,000"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_003,415,"$10,000 to $14,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_004,501,"$15,000 to $19,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_005,519,"$20,000 to $24,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_006,855,"$25,000 to $29,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_007,874,"$30,000 to $34,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_008,614,"$35,000 to $39,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_009,711,"$40,000 to $44,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_010,927,"$45,000 to $49,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_011,1735,"$50,000 to $59,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_012,2724,"$60,000 to $74,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_013,3356,"$75,000 to $99,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_014,2929,"$100,000 to $124,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_015,2387,"$125,000 to $149,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_016,2010,"$150,000 to $199,999"
"DeKalb County, Illinois",DeKalb, Illinois,B19101_017,1224,"$200,000 or more"
"De Witt County, Illinois",De Witt, Illinois,B19101_002,107,"Less than $10,000"
"De Witt County, Illinois",De Witt, Illinois,B19101_003,91,"$10,000 to $14,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_004,139,"$15,000 to $19,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_005,142,"$20,000 to $24,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_006,149,"$25,000 to $29,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_007,166,"$30,000 to $34,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_008,180,"$35,000 to $39,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_009,175,"$40,000 to $44,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_010,213,"$45,000 to $49,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_011,425,"$50,000 to $59,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_012,648,"$60,000 to $74,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_013,738,"$75,000 to $99,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_014,538,"$100,000 to $124,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_015,215,"$125,000 to $149,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_016,300,"$150,000 to $199,999"
"De Witt County, Illinois",De Witt, Illinois,B19101_017,172,"$200,000 or more"
"Douglas County, Illinois",Douglas, Illinois,B19101_002,304,"Less than $10,000"
"Douglas County, Illinois",Douglas, Illinois,B19101_003,138,"$10,000 to $14,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_004,116,"$15,000 to $19,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_005,184,"$20,000 to $24,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_006,122,"$25,000 to $29,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_007,225,"$30,000 to $34,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_008,196,"$35,000 to $39,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_009,242,"$40,000 to $44,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_010,223,"$45,000 to $49,999"
"Douglas County, Illinois",Douglas, Illinois,B19101_011,491,"$50,000 to $59,999"
